Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1498220577181342986,1498204556329,__set_config__,
0,0,4,1498220578252425645,0,__register__,"{""user_id"": ""4""}"
0,0,4,1498220578316497536,1498220578361,__page_loaded__,
0,0,2,1498220578454614297,0,__register__,"{""user_id"": ""2""}"
0,0,2,1498220578660334372,1498220578705,__page_loaded__,
0,0,3,1498220578680892402,0,__register__,"{""user_id"": ""3""}"
0,0,3,1498220578863955276,1498220578909,__page_loaded__,
0,0,admin,1498220579097094084,1498220579142,__page_loaded__,
0,1,2,1498220579098710491,1498220579143,__set_group__,"{""group"": 1}"
0,1,3,1498220579098981869,1498220579143,__set_group__,"{""group"": 1}"
0,1,4,1498220579099125236,1498220579144,__set_group__,"{""group"": 1}"
0,0,1,1498220579115418517,0,__register__,"{""user_id"": ""1""}"
0,1,1,1498220579133263727,1498220579178,__set_group__,"{""group"": 1}"
0,1,2,1498220579133589547,1498220579178,__set_group__,"{""group"": 1}"
0,1,3,1498220579133817484,1498220579178,__set_group__,"{""group"": 1}"
0,1,4,1498220579133989546,1498220579178,__set_group__,"{""group"": 1}"
0,0,1,1498220579213538729,1498220579258,__page_loaded__,
0,0,admin,1498220579980328958,1498220580025,start_session,
0,0,1,1498220579985010740,1498220580029,__set_period__,"{""period"": 0}"
0,0,2,1498220579985275129,1498220580029,__set_period__,"{""period"": 0}"
0,0,3,1498220579985489173,1498220580029,__set_period__,"{""period"": 0}"
0,0,4,1498220579985643081,1498220580029,__set_period__,"{""period"": 0}"
0,0,4,1498220579991494550,1498220580036,__set_page__,"{""page"": ""Wait""}"
0,0,1,1498220579993054508,1498220580037,__set_page__,"{""page"": ""Wait""}"
0,0,2,1498220579996607115,1498220580041,__set_page__,"{""page"": ""Wait""}"
0,0,3,1498220579998935512,1498220580044,__set_page__,"{""page"": ""Wait""}"
0,0,3,1498220580940779685,1498220580986,__page_loaded__,
0,0,2,1498220581335992061,1498220581381,__page_loaded__,
0,0,4,1498220581478290296,1498220581524,__page_loaded__,
0,0,1,1498220581572921931,1498220581618,__page_loaded__,
0,1,1,1498220581579688069,1498220581625,_at_barrier,_on_load_0
0,1,2,1498220581598460001,1498220581644,_at_barrier,_on_load_0
0,1,3,1498220581600250236,1498220581645,_at_barrier,_on_load_0
0,1,4,1498220581603151356,1498220581647,_at_barrier,_on_load_0
0,0,4,1498220581632814492,1498220581677,_next_period,
0,0,1,1498220581635137239,1498220581680,_next_period,
0,0,2,1498220581639437811,1498220581684,_next_period,
0,0,3,1498220581643177848,1498220581687,_next_period,
0,1,2,1498220581645052700,1498220581690,_accumulated_points,0
1,0,2,1498220581645666090,1498220581690,__set_period__,"{""period"": 1}"
0,1,3,1498220581647021630,1498220581692,_accumulated_points,0
1,0,3,1498220581647411495,1498220581692,__set_period__,"{""period"": 1}"
0,1,4,1498220581651497226,1498220581696,_accumulated_points,0
1,0,4,1498220581652219491,1498220581696,__set_period__,"{""period"": 1}"
0,1,1,1498220581656908884,1498220581701,_accumulated_points,0
1,0,1,1498220581658246442,1498220581702,__set_period__,"{""period"": 1}"
1,0,1,1498220581663919896,1498220581708,__set_page__,"{""page"": ""Start""}"
1,0,2,1498220581666500785,1498220581710,__set_page__,"{""page"": ""Start""}"
1,0,3,1498220581669797743,1498220581713,__set_page__,"{""page"": ""Start""}"
1,0,4,1498220581675191101,1498220581720,__set_page__,"{""page"": ""Start""}"
1,0,2,1498220583392737544,1498220583438,__page_loaded__,
1,0,1,1498220583643088593,1498220583688,__page_loaded__,
1,0,4,1498220583736432051,1498220583781,__page_loaded__,
1,0,3,1498220583762995992,1498220583808,__page_loaded__,
1,1,3,1498220583765046444,1498220583810,_at_barrier,_on_load_1
1,1,2,1498220583786295468,1498220583831,_at_barrier,_on_load_1
1,1,4,1498220583788117042,1498220583833,_at_barrier,_on_load_1
1,1,1,1498220583789612747,1498220583834,_at_barrier,_on_load_1
1,1,1,1498220583860998423,1498220583907,_at_barrier,_timer_1_t_0_1
1,1,2,1498220583931030404,1498220583976,LOG_CONFIG,"{""maxX"": 7, ""period"": 1, ""ymin"": 0, ""initialActions"": [1, 2, 3, 4], ""payoff"": ""stable"", ""q1"": 0.6666, ""q2"": 0.333, ""ymax"": 1000, ""minX"": 1, ""hidePayoffs"": true, ""snap"": 0, ""payoffProjection"": true, ""WLconstant"": [60], ""adjustAccuracy"": 0.01, ""WLalpha"": [20], ""step"": 0.9, ""groups"": [[1, 2, 3, 4], [5, 6, 7, 8]], ""actionHistory"": true, ""period_length_s"": 99, ""mu"": 0.5, ""num_sub_periods"": 0, ""WLbeta"": [1, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 10, 10, 10, 10, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 19, 19, 19]}"
1,1,2,1498220583979249227,1498220584025,_at_barrier,_timer_1_t_0_1
1,1,3,1498220584058293064,1498220584104,_at_barrier,_timer_1_t_0_1
1,1,4,1498220584136265496,1498220584181,_at_barrier,_timer_1_t_0_1
1,1,4,1498220584177272886,1498220584223,__set_points__,"{""points"": 0.10966810966810966, ""period"": 1}"
1,1,1,1498220584208257639,1498220584253,__set_points__,"{""points"": 0.113997113997114, ""period"": 1}"
1,1,2,1498220584252927745,1498220584298,__set_points__,"{""points"": 0.11255411255411256, ""period"": 1}"
1,1,3,1498220584284980828,1498220584330,__set_points__,"{""points"": 0.1111111111111111, ""period"": 1}"
1,1,4,1498220584364377891,1498220584409,_at_barrier,_timer_1_t_1_1
1,1,1,1498220584366155018,1498220584411,_at_barrier,_timer_1_t_1_1
1,1,2,1498220584367621385,1498220584413,_at_barrier,_timer_1_t_1_1
1,1,3,1498220584368601214,1498220584414,_at_barrier,_timer_1_t_1_1
1,1,4,1498220584370578896,1498220584416,__set_points__,"{""points"": 0.21933621933621933, ""period"": 1}"
1,1,1,1498220584469056631,1498220584514,__set_points__,"{""points"": 0.227994227994228, ""period"": 1}"
1,1,2,1498220584512638687,1498220584557,__set_points__,"{""points"": 0.22510822510822512, ""period"": 1}"
1,1,3,1498220584579830114,1498220584626,__set_points__,"{""points"": 0.2222222222222222, ""period"": 1}"
1,1,4,1498220584642201933,1498220584687,_at_barrier,_timer_1_t_2_1
1,1,1,1498220584647911170,1498220584693,_at_barrier,_timer_1_t_2_1
1,1,3,1498220584649308555,1498220584694,_at_barrier,_timer_1_t_2_1
1,1,2,1498220584649921482,1498220584694,_at_barrier,_timer_1_t_2_1
1,1,2,1498220584657237571,1498220584702,__set_points__,"{""points"": 0.33766233766233766, ""period"": 1}"
1,1,3,1498220584688074981,1498220584733,__set_points__,"{""points"": 0.3333333333333333, ""period"": 1}"
1,1,4,1498220584721515506,1498220584766,__set_points__,"{""points"": 0.32900432900432897, ""period"": 1}"
1,1,1,1498220584748397866,1498220584794,__set_points__,"{""points"": 0.341991341991342, ""period"": 1}"
1,1,2,1498220584823567608,1498220584868,_at_barrier,_timer_1_t_3_1
1,1,3,1498220584825838435,1498220584871,_at_barrier,_timer_1_t_3_1
1,1,4,1498220584827061583,1498220584872,_at_barrier,_timer_1_t_3_1
1,1,1,1498220584827881331,1498220584873,_at_barrier,_timer_1_t_3_1
1,1,2,1498220584830097794,1498220584875,__set_points__,"{""points"": 0.45021645021645024, ""period"": 1}"
1,1,3,1498220584858969649,1498220584904,__set_points__,"{""points"": 0.4444444444444444, ""period"": 1}"
1,1,4,1498220584902970737,1498220584948,__set_points__,"{""points"": 0.43867243867243866, ""period"": 1}"
1,1,1,1498220584924776494,1498220584970,__set_points__,"{""points"": 0.455988455988456, ""period"": 1}"
